Entity,Code,Year,Total patents
Kazakhstan,KAZ,2004,2
Kazakhstan,KAZ,2006,2
Kazakhstan,KAZ,2010,1
Kazakhstan,KAZ,2011,2
Latvia,LVA,2000,6
Latvia,LVA,2001,1
Latvia,LVA,2002,5
Latvia,LVA,2003,5
Latvia,LVA,2004,4
Latvia,LVA,2005,2
Latvia,LVA,2006,10
Latvia,LVA,2007,8
Latvia,LVA,2008,10
Latvia,LVA,2009,13
Latvia,LVA,2010,7
Latvia,LVA,2011,10
Latvia,LVA,2012,11
Latvia,LVA,2013,10
Latvia,LVA,2014,6
Latvia,LVA,2015,7
Latvia,LVA,2016,8
Latvia,LVA,2017,6
Latvia,LVA,2018,6
Latvia,LVA,2019,5
Lithuania,LTU,2000,5
Lithuania,LTU,2001,3
Lithuania,LTU,2002,8
Lithuania,LTU,2003,6
Lithuania,LTU,2004,4
Lithuania,LTU,2005,1
Lithuania,LTU,2006,9
Lithuania,LTU,2007,17
Lithuania,LTU,2008,27
Lithuania,LTU,2009,41
Lithuania,LTU,2010,62
Lithuania,LTU,2011,56
Lithuania,LTU,2012,57
Lithuania,LTU,2013,77
Lithuania,LTU,2014,66
Lithuania,LTU,2015,52
Lithuania,LTU,2016,33
Lithuania,LTU,2017,23
Lithuania,LTU,2018,9
Lithuania,LTU,2019,12
Lithuania,LTU,2020,2
Lower-middle-income countries,,2000,97
Lower-middle-income countries,,2001,74
Lower-middle-income countries,,2002,73
Lower-middle-income countries,,2003,182
Lower-middle-income countries,,2004,122
Lower-middle-income countries,,2005,199
Lower-middle-income countries,,2006,207
Lower-middle-income countries,,2007,319
Lower-middle-income countries,,2008,329
Lower-middle-income countries,,2009,492
Lower-middle-income countries,,2010,547
Lower-middle-income countries,,2011,560
Lower-middle-income countries,,2012,1054
Lower-middle-income countries,,2013,707
Lower-middle-income countries,,2014,1874
Lower-middle-income countries,,2015,1135
Lower-middle-income countries,,2016,496
Lower-middle-income countries,,2017,502
Lower-middle-income countries,,2018,462
Lower-middle-income countries,,2019,397
Lower-middle-income countries,,2020,144
Lower-middle-income countries,,2021,3
Luxembourg,LUX,2000,2
Luxembourg,LUX,2001,3
Luxembourg,LUX,2002,4
Luxembourg,LUX,2005,6
Luxembourg,LUX,2006,1
Luxembourg,LUX,2007,1
Luxembourg,LUX,2008,2
Luxembourg,LUX,2009,12
Luxembourg,LUX,2010,9
Luxembourg,LUX,2011,10
Luxembourg,LUX,2012,8
Luxembourg,LUX,2013,4
Luxembourg,LUX,2014,10
Luxembourg,LUX,2015,27
Luxembourg,LUX,2016,12
Luxembourg,LUX,2017,24
Luxembourg,LUX,2018,20
Luxembourg,LUX,2019,12
Luxembourg,LUX,2020,19
Malaysia,MYS,2000,44
Malaysia,MYS,2001,28
Malaysia,MYS,2002,27
Malaysia,MYS,2003,34
Malaysia,MYS,2004,78
Malaysia,MYS,2005,81
Malaysia,MYS,2006,101
Malaysia,MYS,2007,152
Malaysia,MYS,2008,190
Malaysia,MYS,2009,177
Malaysia,MYS,2010,273
Malaysia,MYS,2011,305
Malaysia,MYS,2012,261
Malaysia,MYS,2013,94
Malaysia,MYS,2014,113
Malaysia,MYS,2015,34
Mexico,MEX,2000,258
Mexico,MEX,2001,306
Mexico,MEX,2002,331
Mexico,MEX,2003,253
Mexico,MEX,2004,250
Mexico,MEX,2005,346
Mexico,MEX,2006,335
Mexico,MEX,2007,685
Mexico,MEX,2008,621
Mexico,MEX,2009,740
Mexico,MEX,2010,997
Mexico,MEX,2011,967
Mexico,MEX,2012,987
Mexico,MEX,2013,839
Mexico,MEX,2014,966
Mexico,MEX,2015,913
Mexico,MEX,2016,774
Mexico,MEX,2017,791
Mexico,MEX,2018,236
Mexico,MEX,2019,36
Moldova,MDA,2000,6
Moldova,MDA,2001,27
Moldova,MDA,2002,22
Moldova,MDA,2003,13
Moldova,MDA,2004,14
Moldova,MDA,2005,30
Moldova,MDA,2006,9
Moldova,MDA,2007,36
Moldova,MDA,2008,32
Moldova,MDA,2009,29
Moldova,MDA,2010,15
Moldova,MDA,2011,8
Moldova,MDA,2012,23
Moldova,MDA,2013,10
Moldova,MDA,2014,14
Moldova,MDA,2015,24
Moldova,MDA,2016,12
Moldova,MDA,2017,6
Moldova,MDA,2018,15
Moldova,MDA,2019,4
Moldova,MDA,2020,1
Monaco,MCO,2002,1
Monaco,MCO,2007,1
Monaco,MCO,2010,1
Monaco,MCO,2011,1
Monaco,MCO,2015,1
Montenegro,MNE,2003,1
Montenegro,MNE,2005,6
Montenegro,MNE,2007,8
Montenegro,MNE,2008,3
Montenegro,MNE,2009,3
Montenegro,MNE,2010,2
Montenegro,MNE,2011,13
Montenegro,MNE,2012,21
Montenegro,MNE,2013,6
Morocco,MAR,2000,6
Morocco,MAR,2001,9
Morocco,MAR,2002,16
Morocco,MAR,2003,25
Morocco,MAR,2004,26
Morocco,MAR,2005,20
Morocco,MAR,2006,22
Morocco,MAR,2007,39
Morocco,MAR,2008,64
Morocco,MAR,2009,68
Morocco,MAR,2010,112
Morocco,MAR,2011,190
Morocco,MAR,2012,189
Morocco,MAR,2013,195
Morocco,MAR,2014,150
Morocco,MAR,2015,161
Morocco,MAR,2016,75
Morocco,MAR,2017,43
Morocco,MAR,2018,56
Morocco,MAR,2019,28
Netherlands,NLD,2000,98
Netherlands,NLD,2001,94
Netherlands,NLD,2002,102
Netherlands,NLD,2003,66
Netherlands,NLD,2004,71
Netherlands,NLD,2005,99
Netherlands,NLD,2006,100
Netherlands,NLD,2007,75
Netherlands,NLD,2008,131
Netherlands,NLD,2009,201
Netherlands,NLD,2010,195
Netherlands,NLD,2011,224
Netherlands,NLD,2012,137
Netherlands,NLD,2013,168
Netherlands,NLD,2014,147
Netherlands,NLD,2015,126
Netherlands,NLD,2016,133
Netherlands,NLD,2017,195
Netherlands,NLD,2018,187
Netherlands,NLD,2019,154
Netherlands,NLD,2020,13
New Zealand,NZL,2000,68
New Zealand,NZL,2001,124
New Zealand,NZL,2002,167
New Zealand,NZL,2003,99
